cluster,cluster_longname
1,Strep.I
2,Strep.II
3,Veillonella
4,Rothia
5,Gemella
6,Prevotella
7,Micrococcus
8,Cupriayidus
9,Pauljensenia
10,Staphy.+Nialla
11,Haemophilus
12,Granulicatella
13,Fusobacterium+Leptotrichia
14,Cutibacterium
15,Actinomyces
