OTU,percentage_identity,isolate
Campylobacter_1452,,no_isolate
Campylobacter_1453,,no_isolate
Coxiella_1463,,no_isolate
Vibrio_1473,,no_isolate
Photobacterium_1478,,no_isolate
Vibrio_1488,,no_isolate
Vibrio_1505,,no_isolate
Vibrio_1511,,no_isolate
Vibrio_1514,,no_isolate
Vibrio_1519,,no_isolate
Vibrio_1525,,no_isolate
Vibrio_1527,,no_isolate
Vibrio_1530,,no_isolate
Vibrio_1533,,no_isolate
Vibrio_1536,,no_isolate
Salmonella_1579,,no_isolate
Citrobacter_1586,,no_isolate
Pantoea_1600,,no_isolate
Aeromonas_1603,,no_isolate
Proteus_1605,,no_isolate
Serratia_1609,,no_isolate
Enterobacteriaceae_1611,,no_isolate
Enterobacteriaceae_1613,,no_isolate
Enterobacteriaceae_1618,,no_isolate
Pantoea_1621,,no_isolate
Citrobacter_1628,,no_isolate
Enterobacter_1634,,no_isolate
Enterobacteriaceae_1636,,no_isolate
Enterobacteriaceae_1643,,no_isolate
Burkholderia-Caballeronia-Paraburkholderia_1685,,no_isolate
Cellvibrio_1693,,no_isolate
Acidibacter_1710,,no_isolate
Legionella_1718,,no_isolate
Pseudomonas_1760,,no_isolate
Pseudomonas_1766,,no_isolate
Pseudomonas_1767,,no_isolate
Pseudomonas_1771,,no_isolate
Pseudomonas_1777,,no_isolate
Pseudomonas_1788,,no_isolate
Pseudomonas_1819,,no_isolate
Pseudomonas_1822,,no_isolate
Pseudomonas_1823,,no_isolate
Pseudomonas_1831,,no_isolate
Pseudomonas_1838,,no_isolate
Pseudomonas_1846,,no_isolate
Pseudomonas_1851,,no_isolate
Pseudomonas_1860,,no_isolate
Pseudomonas_1861,,no_isolate
Pseudomonas_1868,,no_isolate
Pseudomonas_1869,,no_isolate
Pseudomonas_1871,,no_isolate
Pseudomonas_1872,,no_isolate
Pseudomonas_1888,,no_isolate
Pseudomonas_1889,,no_isolate
Pseudomonas_1919,,no_isolate
Pseudomonas_1920,,no_isolate
Pseudomonas_1921,,no_isolate
Pseudomonas_1951,,no_isolate
Pseudomonas_1957,,no_isolate
Pseudomonas_1959,,no_isolate
Pseudomonas_1960,,no_isolate
Pseudomonas_1963,,no_isolate
Succinivibrio_1989,,no_isolate
Cardiobacterium_1991,,no_isolate
Cardiobacterium_1992,,no_isolate
Cardiobacterium_1995,,no_isolate
Cardiobacterium_1997,,no_isolate
Rickettsiella_2038,,no_isolate
0319-6G20_2041,,no_isolate
0319-6G20_2042,,no_isolate
Roseomonas_2045,,no_isolate
Acetobacteraceae_2060,,no_isolate
Fastidiosipila_2079,,no_isolate
Desulfobulbus_2080,,no_isolate
uncultured_2094,,no_isolate
Desulfovibrio_2104,,no_isolate
Desulfovibrio_2105,,no_isolate
Desulfovibrio_2108,,no_isolate
Desulfovibrionaceae_2112,,no_isolate
Desulfomicrobium_2114,,no_isolate
OM27_clade_2119,,no_isolate
Polyangiaceae_2120,,no_isolate
Pajaroellobacter_2125,,no_isolate
Syntrophaceae_2151,,no_isolate
Skermanella_2154,,no_isolate
Sphingomonas_2171,,no_isolate
Sphingomonas_2203,,no_isolate
Sphingomonas_2209,,no_isolate
Sphingomonas_2224,,no_isolate
Sphingomonas_2226,,no_isolate
Sphingomonas_2228,,no_isolate
Sphingomonas_2232,,no_isolate
Novosphingobium_2265,,no_isolate
Sphingobium_2273,,no_isolate
Sphingobium_2278,,no_isolate
Porphyrobacter_2281,,no_isolate
Methylobacterium_2303,,no_isolate
Methylobacterium_2304,,no_isolate
Bosea_2307,,no_isolate
Bosea_2310,,no_isolate
Phreatobacter_2314,,no_isolate
