"","glutamine","tryptophan","glutamate","histidine","leucine","phenylalanine","asparagine","lactate","3-hydroxybutyrate (BHBA)","adenine","fructose","mannose","nicotinamide","pyruvate","uridine","pyridoxine (Vitamin B6)","inosine","isoleucine","alanine","threonine","tyrosine","lysine","methionine","malate","5-methylthioadenosine (MTA)","ornithine","5-oxoproline","pantothenate","3-hydroxyisobutyrate","citrate","glycerate","N-acetylalanine","N-acetylmethionine","urate","arginine","caprate (10:0)","serine","valine","pyridoxal","4-hydroxyphenylpyruvate","cortisol","cortisone","folate","riboflavin (Vitamin B2)","proline","cobalamine (Vitamin B12)","gamma-glutamylglutamine","N-formylmethionine","hypoxanthine","xanthine","xylitol","anthranilate","thiamin (Vitamin B1)","2-aminoadipate","phosphate","glycine","cis-aconitate","beta-hydroxyisovalerate","sorbitol","glycerol","xanthosine","kynurenine","glycerol 3-phosphate (G3P)","choline","3-methyl-2-oxovalerate","4-guanidinobutanoate","gamma-glutamylleucine","methionine sulfoxide","myo-inositol","glucose","erythritol","3-methyl-2-oxobutyrate","HEPES","4-methyl-2-oxopentanoate","alpha-hydroxyisocaproate","creatine","glutathione, oxidized (GSSG)","threonate","cysteine","3-(4-hydroxyphenyl)lactate","acetylcarnitine","3-hydroxy-2-ethylpropionate","caproate (6:0)","caprylate (8:0)","phenol sulfate","gamma-glutamylphenylalanine","pseudouridine","erythronate*","alpha-hydroxyisovalerate","N-acetylthreonine","acetoacetate","isovalerate","cysteine-glutathione disulfide","xylonate","p-cresol sulfate","dimethylarginine (SDMA + ADMA)","phenol red","2-hydroxyglutarate","thymidine"
"A_d0",1.09681386415176,1.7869313901363,1.77726364758591,1.7339322521694,2.22915125536234,1.79604009578188,3.4593942178064,0.486913580640027,0.122098150655967,4.46928617104637,2.53271856830691,0.352191287861197,1.8715074206562,9.16111166021586,1.13323187024641,2.15106386437194,0.285428817646254,3.05744178715724,0.855714851522518,1.59487983951368,1.39107403927972,1.58121079051685,1.5274760886312,0.317276066803467,0.282345189069977,0.518829147029791,1.27495700453843,1.46684564079266,0.0463756274906287,0.0236636655291391,1.81416059844185,0.818376318733856,0.491040812772812,1.09122357653868,1.63131584587818,1.48151286329073,0.541310336084049,1.60034721548511,0.171517061012173,0.733286840750389,2.80515658978316,0.320770277188955,1.36322241797599,1.3872039022073,1.07088981980977,1.51876826803057,0.0823461529094544,1.19148975047603,0.141727823154985,0.41730713905251,0.865704570459736,0.549160067727314,0.433817392991043,0.293446442172031,1.34585684610841,0.295235767807456,0.0559522971295339,0.137766308129912,0.6315046948834,1.09461780424083,1.02960175815365,0.171149972582712,0.383014989946886,1.40282445778737,0.233930353840263,0.803166587176364,0.94184084346716,1.6569437170723,1.34329471965677,2.12618633239118,0.186324312861939,0.110722035028442,1.42728082525402,0.2696470741401,0.841080744127493,1.09703343429085,0.549319521912351,1.71553218241743,0.527530852264688,0.0637527468951158,0.391316237642368,0.100185891045614,0.777719622137507,1.0966235811984,0.384252638900497,0.698835383349693,0.940108153334301,0.502784820042016,0.0970091338299429,0.91491699035027,0.113512202337028,0.619417063997894,0.096927008908652,1.08614833606397,1.18819983329926,0.832236482222905,1.47809082436611,0.413710128287012,14.7057698857866
"A_d0.1",1.2786456120604,1.68228158885101,2.01460101719721,1.75174922684624,2.67257961478204,1.49965780264716,2.11460742035743,0.567594625146092,0.0810825551641708,4.62326918199858,1.76608498077517,0.28942318157616,1.50086570277896,4.89766318254956,1.20739161806223,1.95042007297759,0.288218806973383,2.70454428386613,1.08700922479702,1.62710297697316,1.55790971445301,1.60950867796445,1.54791929405648,0.307209132466055,0.355969766880156,0.861686176039116,1.33133134307839,1.44060601983074,0.0579359934359247,0.0601767262240175,1.50958364660093,0.82636593187163,0.560239740188649,1.26582547687904,1.6472312276643,2.40337565182106,0.63683943418795,1.73435060195826,0.170194598420814,0.740443842715146,2.86638088149409,0.391986311340201,1.46255609105536,1.29019252915324,0.985164247359352,1.37142001178181,0.0247195689661842,1.20311864195658,0.353032975560207,0.560761300866566,0.874152280432081,0.42037714815572,0.929911216619229,0.178145722509009,1.01720260994785,0.42587371643207,0.0564993733344699,0.118820114986415,0.637666396592304,0.365679508499384,1.03964889408643,0.0920671791278155,0.386752892408084,1.61513891093376,0.218560229631737,1.41112166068905,0.951031723531969,1.12630678223648,1.17777702531445,2.05059278339926,0.262851531718578,0.140840442049914,1.42875574365657,0.264307586990931,0.849293879691266,1.14739690397123,0.554684054027791,1.1714320396273,0.647150819566736,0.0526960564790661,0.39513659942537,0.101165255472432,1.38158434100117,1.35330403243668,0.388005076185084,0.705655326301844,0.949282102188236,0.309857303463606,0.0979556707644407,0.798799117941968,0.114620260928429,0.625462279116656,0.0827596452340258,1.14712396369662,1.34461796822606,0.840356419146722,1.48775919190052,0.417747368096394,13.9186844315609
"A_d0.2",2.05197488749338,2.60523052653063,3.82070091955497,2.92454138859737,4.16661270724111,2.50114414523008,5.32622479959929,0.62384556805356,0.130890738363695,7.34240262912096,4.27814132820223,0.520106530789141,2.28025158603618,23.0319977632604,1.9645443717997,2.85640649401309,0.469269185808832,4.95089829618924,1.60569380640365,2.57599250626123,2.23823546315696,2.48819957921939,2.54978973624111,0.869610730219667,0.513756319650289,0.976322685405514,2.05063582211043,2.32561880977035,0.0907156731692095,0.127504455137798,2.56813723673786,1.34483475584789,0.793442773844282,1.22476600610522,2.66411898742511,3.09327593595891,1.08162513973136,2.94217115642284,0.245007422170749,1.20488214878531,4.96250412143484,0.527079792801069,2.47888091612804,2.16480403763778,1.62999762127248,2.42782498469192,0.0983298684528118,1.95775063553389,0.445997023539604,1.02421633899846,1.4223483168518,0.684032419802257,1.58230863035265,0.369194734411088,2.5028765199338,0.591890217785441,0.0920007113476419,0.272158609216857,1.44870410710658,1.23807003823965,1.69163625086665,0.149810323355359,0.803505381621309,2.47828999964748,0.418823110105799,1.74427663130555,1.5474541905947,3.0567810988365,2.26593642136326,4.06382454164757,0.306127506095706,0.374912448433398,2.34816048803276,0.39686267661367,1.38226771252606,2.39161145836703,1.10074126351736,2.08887785305864,1.03290171823367,0.0857919985101892,1.66228825043477,0.164719011312733,2.24748177536613,3.04600800024662,0.631511452831312,1.14822091001817,1.54460585460247,0.526248991419807,0.283533401396431,1.23078122862275,0.618321651911014,1.01775356021629,0.160826794701334,1.80668549197546,2.02107276001773,1.36728232595297,2.42059618368437,0.679735394298029,28.1947846077429
"A_d0.3",1.68764879613254,2.30695782722358,3.25255985407624,2.33681450326444,3.54984752256265,2.05027624805719,2.71193470405899,0.595481752850185,0.114324917658935,6.08646429437783,1.88265857898664,0.325625734735572,2.04717982138433,9.96365960995023,1.62846640898985,2.91804216744573,0.388906217854723,3.32341754836076,1.29558785533198,2.11784221022534,1.9567197145122,2.07619254871027,2.14599691871005,0.669022095026528,0.286908646738549,1.03200229821058,1.69169859646988,1.96339698971506,0.0505771067634745,0.0701202079329252,2.14964802155928,1.11470160862992,0.752818243425848,1.72318108834617,2.14044471310394,2.01772794314445,1.17531033864993,2.21055849887796,0.203092572708432,0.998731568226183,4.04299421897615,0.436894785245481,1.95446014495392,1.8084483773233,1.23424847483854,1.93464265117837,0.0526991326369618,1.62279156443404,0.193053578605599,0.470744849306399,1.17902012946696,0.822573452640857,1.33413888089882,0.240284529479096,1.57587870493276,0.828796746350573,0.0762427057172116,0.149868678575455,0.860034914514631,0.508906140805343,1.40223813197603,0.124179830456225,0.521649365769288,1.9569546851,0.369590888577109,1.2305201565641,1.28271970113398,2.00565826265581,1.80284248406311,2.92195168832223,0.253757396772758,0.273175011527191,1.89304705759254,0.364681047498906,1.14569621610622,1.74543197176671,0.748283665338645,2.2380573367067,0.883229186672972,0.0816976300560887,0.533008932061289,0.136509357862633,1.24832342446243,1.67281507532413,1.13253257950934,1.52248818184052,1.28035905243992,0.388509078258349,0.132115067831463,1.01794061007639,0.457825483424835,1.5403251243985,0.10494736551443,1.32101390956996,2.04242195608357,1.13339532701249,2.0169759641515,0.563446571875085,41.6482546501283
"A_d2",0.966264218046735,1.0980238183688,2.06238006242281,1.18992696409612,1.46431455236993,1.09756243327204,1.16348734811574,1.67104545358125,0.453187339764456,2.06687362758899,1.0031850202398,0.934954307833419,1.31028639354522,0.929802923156366,1.03677998688588,1.43693731448263,0.494801390235821,1.42649027494458,2.12717275746277,1.25872033082289,1.13087953829758,1.34199770734571,1.06448831964913,1.16163269566364,4.29720109731106,1.55700719675129,1.12104317688275,1.16263351404413,0.575422424763193,0.615262500008725,1.48621741810115,0.818214897775405,1.50564098516513,0.586669055959499,1.23227609007954,1.382945003078,1.32498910089987,1.40469846976882,1.05788968542534,1.05757653509626,1.86082698433514,0.848421465489444,1.15403302835247,1.14694725049599,1.3106714226226,1.16150178640475,1.23213924981636,1.06981517732184,0.783193028040437,0.684197461564091,0.879235440540899,1.99805936392915,2.97645425622874,2.37063061239599,1.19927647333216,1.62236640870548,0.833303014815046,1.10023550429503,0.519243210450719,1.3698594812755,0.810322061369965,1.35015511538865,0.395692502942046,1.26318112474165,1.98376793342607,0.96757529400189,2.03296667813423,1.27172945402623,1.06219379417224,0.843418169993255,0.572119489602032,2.07158330304276,1.21282904835114,2.3650228122007,1.23988034879038,0.582766819524622,0.793318976565222,0.999083472342066,1.05137995951318,0.926026423055034,0.868987500853234,0.300106112113231,1.17908907660096,1.76310623495508,1.14391294098428,1.34918672949627,0.97699390907304,1.01652509551487,0.77126559797525,1.05077563846673,1.52296661948417,1.10861214211363,0.976432691582207,1.01636943577676,1.09215560204531,1.0486844568813,1.25051925915734,0.935671709207489,0.955077522209312
"A_d2.1",1.05582244033493,1.15826310590508,1.89268060959828,1.3514007934707,1.66067622530467,1.15363576054713,0.793145749036798,1.3448898611775,0.446397985186045,2.14333265420174,0.684460797500359,0.783529959344063,1.04012699132533,1.92624910875057,1.08059099442641,1.24648673024169,0.221165018538237,1.92135286925876,2.57640932437729,1.14879771219426,1.0979452205792,1.12195434469801,1.12505418856373,1.1642161600797,5.04221283811763,1.14372064059761,1.15661269446776,1.19779497603571,0.645559359886051,0.73544850045569,1.27187686433042,1.02386481117687,1.74338061272407,0.577877102574403,1.19427831809665,1.20983123467345,1.38031403420004,1.30542550312162,1.00802269264357,1.12576532448397,1.98145390042791,0.659834207308945,1.22036161550314,1.24148378030889,1.06676300336112,1.13771162015371,0.82313841250836,1.01068098832392,0.855039685184291,0.931917878665717,0.993200186729402,1.01175873992942,1.2896626406819,1.20760718490091,1.57622009227397,1.76147284746575,0.832777681919496,1.17704799620417,0.931965553164892,0.996088396443547,0.950332170640706,1.1683127682295,0.850717935268452,1.28025250033873,1.93182399630289,1.03152193048326,1.966037367311,1.13118947816558,1.01683295124407,1.05162129233399,0.701216185216012,2.0643748036433,1.19550472738294,2.34457205502419,1.34150399145742,0.582675434955619,1.25687921572138,1.1822296929882,1.44047281471584,0.768484458708953,0.83397268630152,0.651862175274293,1.68303699826117,1.32024046630599,1.13602587392633,1.03735092471963,1.01504099588814,0.898890155786376,1.13811084798571,0.95216743481083,1.48816327008138,0.88393102086266,0.984291438260997,1.03322426915704,1.27512957356886,1.06540099827525,1.28698250681029,0.674629081272875,1.26230771971385
"A_d2.2",1.05565115425352,1.18070769939638,4.19294944902343,1.23061192854639,1.52613393075158,1.30428801890083,1.18815045463068,1.78152336581654,0.460186404136795,2.18140395874558,0.680260407302442,1.25892496225868,1.24807421053328,2.36346440022907,1.34299280503311,1.3874016586373,0.723096572233505,1.52332315364916,2.44626566992646,1.18428215274388,1.1437488982514,1.50945614996726,1.07938536528415,1.65169773305389,5.08895889747741,1.17904818026267,1.13968228622806,1.20740046164819,0.826067744186009,1.15789872427817,1.43589315785117,1.39014695196747,1.53821850050187,2.71935840464047,1.21003797601332,1.1964759357327,1.71404157407079,1.23479690483364,1.08176865155852,0.82095947363553,1.93372251158463,0.70492946008049,1.22609285196284,1.39876214937288,1.05906577532955,1.33413113452786,0.848563876315992,0.97679629766961,0.911625549787383,0.994326505615086,0.898782632665922,1.04901450669868,1.19477894830759,2.96501638426014,1.56531953548168,2.59652836841662,0.838480155034708,1.72244142925535,0.732760505155653,2.31165269707907,0.908609198963595,1.04303889694765,0.836185185895692,1.2802683901368,1.91704673004469,0.832512073459314,1.03087602581974,1.19004223029996,1.220007461727,1.22615579143969,0.908221084675326,1.89463255320173,1.22133680140585,2.10887697635077,0.902643593005524,0.769330367763112,0.675868891999569,1.48289569645324,1.6245345142868,0.867290070113165,1.06830202245084,0.929041362945056,1.42686873428543,1.82830017942086,0.70686129953147,0.790889641992362,1.05834483893202,0.859930002434896,1.83345565750912,1.0089005118257,2.9326798965514,1.15338027700714,1.01567540466785,1.69029552018104,1.14525530736846,0.949304831276887,1.23984204893283,0.695470348715267,1.63655594000475
"A_d2.3",0.921968614725888,1.0703116424874,3.34480376343544,1.19548680981147,1.3882585983246,1.09160420701497,0.817811659966215,1.53888231858026,0.410993842216382,2.44335126124611,0.663473232881058,0.724747935076581,1.25011827589534,1.64156213225738,0.946034249960834,1.36550655694666,0.519807561076594,1.2789002621298,2.09635950326257,1.08116591229823,1.03806879035537,1.32853317092343,1.00360663404492,1.14795649009243,3.16322030985944,1.36323880005285,0.994544666135515,1.10287481694195,0.550424299898934,0.487528824477183,1.07308561012751,1.09143448239576,1.28660786658002,1.3524361611829,1.08451478739822,2.08034786604991,1.27967263240566,1.15671320590027,0.802124184165612,0.801766199445827,1.83607474544246,0.566638422454459,1.10355599745691,1.13538111053655,1.03858952627281,1.02011302728064,0.75785415048161,0.850342184024976,0.77046676911857,0.772645103686972,1.12024874136757,0.818008979925815,2.10706571036028,1.41768686096053,1.13683520476157,2.11750753306395,0.708097565631785,0.998237103891108,0.556618347580754,0.897535381543965,1.22281322231181,1.09244530845224,0.956585143174387,1.06278044831866,2.07622466854694,0.873784107763001,1.16695929668528,1.08799484637877,0.787200407777754,1.05191443872462,0.652536942177703,1.87474228626867,1.05976354997738,2.05054192903305,0.824764708997706,0.714811343516311,0.391944497870587,1.05065887486296,1.17423774165559,0.669668912593968,0.720812246892906,0.81241960357728,1.04528834413542,1.30647934129623,0.971307191593012,0.675541284423448,0.952187372310589,1.0065653776516,0.913750456070858,0.790025347768114,1.22011895236502,1.35149348297402,0.689922618021906,1.19214051289434,0.969170111471962,0.59402833263887,1.10241013111119,0.881739543186336,2.36234280443977
"A_d3",1.13325521948674,1.31727048680715,2.36855979226574,1.38460186603884,1.55668672678534,1.60133324777029,1.3981492855069,1.91886015042509,0.689099136889573,1.14890343833683,0.861276080118587,1.49608540736491,1.10523771631981,1.42281575311113,2.31931224355753,1.52623445754093,1.0577726333357,1.55564549435832,3.09281257500466,1.28961109801048,1.25082913006924,1.22528013040405,1.2710436158458,0.997758544495687,3.14732386457698,1.31627009930247,1.20109851103754,1.36160650834839,0.883072081096341,0.807621211578589,1.32978774171042,1.73717533293628,1.64277559623998,0.704577581493874,1.37527917070041,1.602298768445,1.6432105237721,1.44052903296511,1.14453127170711,1.14554026372006,1.82413071507781,0.68313608677762,1.22377889599275,1.34183177041508,1.25702427486969,1.66523209571253,1.41747837026148,1.33360622002773,1.30480390044832,1.17003574847793,0.818258528149301,2.78553551624207,3.86314249075776,3.3923322943378,1.58230398020369,3.53402637048183,1.08848800457746,1.57473980468468,0.691692848509194,1.69250656655461,1.33763218428078,2.31408183056576,1.15866201474163,1.25580225522333,1.5090187106034,1.67096714843779,1.35206064765606,1.24680737145087,0.996846624629612,1.17959837052848,1.36345509898847,1.6134205342474,1.25246065154553,1.77219186942499,1.43949759782114,0.854588889758427,1.19640831741527,0.885077962975119,1.47441094022438,1.23930130952477,1.32931895690503,0.0946853511141705,1.64979908321041,1.52482394648922,1.06838717880086,1.15459974333135,1.40857393462557,1.23268552780844,1.40884440168184,1.23590136437889,1.72580622081795,1.172457330105,1.11957810647534,1.51110996161325,0.891418971425455,2.1422292655276,1.23224579907017,1.00340723225788,0.819170258476778
"A_d3.1",0.86717283284299,0.864611355143312,2.12871427238356,0.953648250551306,1.16461148226086,0.945568456691828,0.490235895528191,1.07927467986375,0.548519081026482,1.13951358762473,0.667994958508875,2.09386612433564,0.90942235093685,1.7168133239875,2.55803905627651,1.00239048040473,0.979634802886601,1.1121964466702,2.58887369287861,0.943460041875325,0.879596276630736,1.0121481899993,0.847177325189419,1.10825265908447,2.34662834196773,2.8664302932756,0.919954590102426,0.942565182009949,0.789320574140552,0.645235811927178,0.951472818604239,0.659361677717765,1.36425297826289,0.749763824759593,0.901140131927349,1.2251119695199,1.59733812303786,1.05474354359049,0.99191083490776,0.595371466684317,1.4403066570152,0.685500095818007,0.837497725438893,0.974143960836843,0.962954447955057,1.05792743797995,0.785810508705706,0.969553492762118,0.987285319441109,0.880362261649016,0.792438105602402,1.52206185935479,0.930776936568762,2.83733397482235,1.49179420770413,4.19787502273925,0.765303209220453,1.38579865555218,0.925163390928706,1.04648715106224,0.775934144563438,1.43599512014024,0.835496349051162,0.947081199348121,1.33136149569716,0.61684516676661,0.968675247828899,0.838567903639193,0.822646288378484,0.975460094981639,0.965706904509498,1.37852382992505,0.927354952562559,1.4515516871962,1.22986958321906,0.485399897472588,0.34023929193406,1.08460500901325,1.7408902701926,0.833769191021814,0.813789018439802,0.807899374729108,1.07746719048052,1.45942630512425,0.697281075999486,0.490911505425225,0.989088520155347,0.969839769627416,1.54542558474253,0.92972828334316,1.74519664045416,0.888426378409463,0.659803180974605,0.912501518321101,0.889331157457882,0.791359756035566,0.923119307875535,0.606228621446052,0.467529793935102
