representative_ko,identical_to
K00096,K00171|K01083|K01192|K01473|K01577|K02101|K02228|K02848|K03388|K03403|K03432|K03433|K05580|K05991|K07169|K07307|K07308|K07309|K07310|K07311|K07312|K08137|K08368|K10797|K11045|K14335|K15916|K16163|K16876|K17490|K18006|K18007|K18291|K18354|K20901|K21379|K21473|K22227
K00100,K19955
K00102,K00228|K00404|K00405|K00407|K00410|K00411|K00413|K00992|K01058|K01459|K01501|K01682|K01690|K02192|K02655|K03181|K03182|K03186|K03619|K03690|K03941|K05805|K06195|K06923|K06938|K07152|K07289|K07290|K07501|K08485|K08973|K09788|K09792|K09806|K09857|K09926|K09941|K09977|K10764|K11935|K12541|K13893|K13895|K13896|K15333|K15862|K16239|K18094|K18588|K19303|K19337|K20455|K21345|K21677|K21679|K22110|K22292
K00103,K02385|K07300|K09703|K09759|K13626|K14189|K18910|K22503
K00104,K21405
K00122,K22213
K00124,K00127|K02439|K02553|K02682|K03560|K03597|K03746|K04087|K05501|K05772|K06077|K08070|K08988|K09923|K11782|K18850|K22066
K00129,K00138|K00151|K00232|K00389|K00446|K01389|K01697|K03380|K04040|K09959|K11410|K13638|K13810|K15052|K15372|K18370|K19065|K20611
K00132,K20037|K20038
K00133,K00858|K01262|K02340|K02356
K00147,K00931
K00148,K01637|K01638|K01720|K01968|K01969|K02609|K02610|K02613|K02618|K05712|K07794|K07795|K12253|K14287
K00153,K06338
K00156,K00158
K00163,K00982|K01616|K01947|K03578|K06980|K11927|K13288
K00164,K13543
K00167,K01583|K01896|K02250|K02497|K02828|K02829|K03480|K06347|K07094|K07651|K07723|K07813|K08094|K08976|K09145|K09699|K09763|K09822|K10850|K11631|K11632|K13714|K13853|K15519|K17216|K17217|K17472|K18704|K19079|K19080|K21275|K21285|K22109|K22135
K00176,K00177|K00186|K00187|K01278|K03329|K05572|K05573|K05575|K05785|K07231|K07338|K07405|K07709|K09650|K12049|K12686|K13310|K15876|K16053|K16153|K21571|K21573|K21574|K22253|K22300
K00207,K02585|K12527|K16956|K17723
K00209,K00394|K00395|K00524|K00952|K01884|K07031|K08280|K08777|K08964|K08966|K10798|K13581|K13622|K13792|K15783|K16077|K16129|K17867|K18678|K21962
K00210,K00220|K04517|K04518
